date,temp,rain,wind,humid,pressure
2003.05.30,21.7,3,1.3,77.6,998.1
2003.05.31,24.1,,1.3,53.8,994.3
2003.06.01,23.5,,1.7,51.4,995.1
2003.06.02,22.6,,1.8,38.1,998.4
2003.06.03,22,,1.8,37,1001.9
2003.06.04,21.6,,2.1,38.3,998.8
2003.06.05,22.4,,1.9,49.8,998.6
2003.06.06,18.5,3.5,1.8,71.1,997.8
2003.06.07,20.9,,1.7,60.4,999.5
2003.06.08,24.1,,1.3,57.3,1003
2003.06.09,25.9,,1.9,43.6,1001.2
2003.06.10,23,0,1.6,56.5,999
2003.06.11,20.9,9.5,1.4,79.8,996.5
2003.06.12,19.3,22,1.4,91.3,990.6
2003.06.13,20.3,,2.7,73.1,994.9
2003.06.14,20.2,0.5,2.7,75.1,995.7
2003.06.15,18,12,1.4,90,998.1
2003.06.16,20.3,6.5,1.2,80.3,1000.3
2003.06.17,22.3,,2,68.4,1001.1
2003.06.18,22.4,,1.8,66.4,998.2
2003.06.19,23.3,,1.5,66.8,991.6
2003.06.20,21.9,,2.9,71.5,997.6
2003.06.21,23.5,,1.6,71,1000.7
2003.06.22,24.5,,1.8,68.5,998.9
2003.06.23,21.4,26,2.7,85,987.5
2003.06.24,16.7,13.5,4.2,90.8,984.8
2003.06.25,19.2,3,1.4,83.1,989.1
2003.06.26,22.4,,1.5,74.4,995.2
2003.06.27,20,51.5,3.1,89,988.7
2003.06.28,22.8,0.5,2.2,67.8,992.6
2003.06.29,19.7,7.5,2.4,89.6,996.3
2003.06.30,22.8,,1.5,75.1,996.6
2003.07.01,23,0.3,1.7,74.9,997.8
2003.07.02,24.7,1.5,1.5,70.1,999.9
2003.07.03,21.4,14,2.5,70.5,993.1
2003.07.04,22.3,0,1.5,68.9,995.7
2003.07.05,25.1,,2.1,66.6,994.7
2003.07.06,24.6,,1.3,73,995.7
2003.07.07,25.2,,2.2,65.3,997.5
2003.07.08,25.7,,2,65.9,998.4
2003.07.09,21.8,44,1.3,95.9,995.2
2003.07.10,23.2,0.5,2.2,79.1,995.1
2003.07.11,25.2,,1.5,66.6,996.2
2003.07.12,23.3,2,1.6,76.4,998
2003.07.13,24.5,0.5,2.4,59.8,994.3
2003.07.14,23.7,,2,59.5,996.7
2003.07.15,24.7,18,1.6,70.1,997.4
2003.07.16,24.8,,1.9,70.9,999.6
2003.07.17,24.3,0.5,1.7,69.3,997.9
2003.07.18,19.8,58.5,2.4,90.5,989.2
2003.07.19,20.4,7,3.1,86.1,993.6
2003.07.20,24,22,1,79,997.5
2003.07.21,25.7,1.5,1.2,80.8,999.9
2003.07.22,22.9,173.5,1.7,93.1,998
2003.07.23,22.3,3,2,86.4,998.5
2003.07.24,24.6,9.5,1.2,75,1000.7
2003.07.25,26,18.5,1.8,71.1,1000.5
2003.07.26,25.6,,2,65,1001.8
2003.07.27,21,49.5,1.6,90.3,1001.6
2003.07.28,22.2,29,1.2,85.3,996.8
2003.07.29,24.7,16.5,1.1,80.3,992.5
2003.07.30,26.2,,1.7,66.8,995.3
2003.07.31,26.4,,1.8,70.8,996.5
2003.08.01,25.8,0,1.7,77.3,995.6
2003.08.02,25,19,1.5,82.1,995.9
2003.08.03,25.2,29,1.4,90.4,997.4
2003.08.04,26.6,0,0.7,81.5,999.6
2003.08.05,26,2,1.3,78.3,1000.1
2003.08.06,23.4,28.5,1.5,82.3,996.5
2003.08.07,22.7,50,1.7,81.4,993.8
2003.08.08,25.1,,1.3,71.3,988.1
2003.08.09,26.7,,1.4,63,988
2003.08.10,24.1,4,1.6,79.3,993.3
2003.08.11,23.8,3.5,1.3,78.1,996
2003.08.12,24.8,,1.6,64.4,1000.7
2003.08.13,24.7,,0.7,60.8,1002
2003.08.14,24.9,,1.3,52,1002.6
2003.08.15,24.7,,1.7,51,1004.3
2003.08.16,23.5,,1.4,61.9,1005.4
2003.08.17,23,0.2,1,68.3,1005.7
2003.08.18,21.4,5,1,82.9,1004.1
2003.08.19,21.8,33.5,1.2,85.8,1001.2
2003.08.20,24.6,146.5,1.3,88.4,1002.7
2003.08.21,26.5,10,1.1,84.1,1005.9
2003.08.22,27,1.5,2.3,77.8,1004
2003.08.23,24.6,75.5,2.7,89.6,1000.1
2003.08.24,22.7,177,1.9,93,997.3
2003.08.25,25,4,1.1,77.8,996.5
2003.08.26,24.2,,0.8,79.3,999.4
2003.08.27,21.5,75,1.7,89.8,994
2003.08.28,24,9.5,1.5,75.9,995.2
2003.08.29,22.4,,1.1,79.4,1000.8
2003.08.30,20.2,10,1,85.3,1000
2003.08.31,21.2,0.5,0.7,72.1,1000.8
2003.09.01,22,,0.6,78,1004.5
2003.09.02,18.8,24.5,0.5,88.1,1006.4
2003.09.03,20.8,2.5,0.6,84.6,1008.6
2003.09.04,22,,1,75.5,1006.1
2003.09.05,22.9,34.5,2.4,85.4,999.7
2003.09.06,22.3,0,0.9,76,1002
2003.09.07,21.1,19,0.7,91.5,1000.2
2003.09.08,23.2,1.5,1.4,75.8,1001.1
2003.09.09,18.8,55.5,1.1,88.8,1000.7
2003.09.10,20.9,,1.2,76.6,1001.1
2003.09.11,21.7,,0.6,76.8,1002.4
2003.09.12,21.3,16.5,2.2,86.4,995.1
2003.09.13,22,3,2.3,80.1,996.5
2003.09.14,22.1,,1.5,77.4,1004.3
2003.09.15,23.2,,0.7,71.4,1006.1
2003.09.16,22.5,,0.9,74.5,1005.3
2003.09.17,23.2,,0.7,76.9,1004.4
2003.09.18,20.4,101,1.9,91,998.2
2003.09.19,21.1,0.2,1.3,67.1,1001.8
2003.09.20,20.6,,1.2,53,1002.6
2003.09.21,19.4,,0.7,57.1,1004.9
2003.09.22,18.9,,0.8,53.3,1007.6
2003.09.23,18.7,,0.9,52.1,1010.6
2003.09.24,18.8,,1.1,56.8,1010.5
2003.09.25,20.2,,1,63.5,1008.5
2003.09.26,20.3,,1,65.4,1006.5
2003.09.27,20.4,,0.7,58.4,1004
2003.09.28,20.4,,0.8,64.4,1003.5
2003.09.29,19.9,,0.8,59.8,1005.1
2003.09.30,19.2,,1.6,65,1005.5
2003.10.01,16,5.5,2.1,88.3,1003.2
2003.10.02,15.1,,2.1,60.6,1008
2003.10.03,15.3,,2,52,1012.1
2003.10.04,15.3,,2.2,44.6,1013.6
2003.10.05,15.1,,1.2,60.3,1012.9
2003.10.06,16,,1.6,72.9,1011.8
2003.10.07,16.6,,1.1,65.4,1011.2
2003.10.08,18,,1.5,59.4,1010.1
2003.10.09,18.9,,1.4,62.6,1010.6
2003.10.10,19.6,,1.2,64.1,1010.3
2003.10.11,20,,1.6,59.8,1006.4
2003.10.12,19.2,2.5,2,74,1002.4
2003.10.13,15.4,7.5,2.3,80.4,1006.5
2003.10.14,13.3,,2.7,63.9,1004.7
2003.10.15,12.1,,2.2,51.6,1006.4
2003.10.16,13.7,,1.9,58.5,1008.2
2003.10.17,13.5,,2.1,71.1,1008
2003.10.18,14,,2,54.4,1009.1
2003.10.19,12.1,,1.5,48.9,1011.5
2003.10.20,12.4,,1.3,61.4,1007.7
2003.10.21,11.6,6,1.4,86.9,1004
2003.10.22,11.7,1.5,3.1,66.1,1003.5
2003.10.23,8.4,,2.5,39.8,1008.3
2003.10.24,10.7,,2,62.5,1005.8
2003.10.25,12.2,5.5,2.7,54.9,1004.8
2003.10.26,10.7,,1.4,55.6,1007.8
2003.10.27,14.3,,2.6,56,1006
2003.10.28,8,13,4.4,52.6,1006.8
2003.10.29,7.5,,2.3,51.3,1012
2003.10.30,10.9,,1.4,54,1010.6
2003.10.31,13.9,,1.3,57.6,1008.1
2003.11.01,14.3,,1.7,69.6,1007.4
2003.11.02,16.6,,2,77.9,1007.3
2003.11.03,12,0,3.6,52.9,1008.9
2003.11.04,10.2,,1.4,38.4,1012.7
2003.11.05,13.8,,1.4,50.3,1008.6
2003.11.06,14.4,,1.4,65.8,1008.5
2003.11.07,12.3,10.5,1.4,86.4,1007.2
2003.11.08,9.4,14,1.2,95.9,1007.9
2003.11.09,11,,1.2,78.9,1012.6
2003.11.10,11.9,0.2,2,74.3,1011.5
2003.11.11,9.8,16.5,2.2,83.8,1010.4
2003.11.12,8.7,4.5,2.1,83.8,1012.7
2003.11.13,8.3,,1.7,70.6,1016.5
2003.11.14,8.8,,1.5,71.4,1015.9
2003.11.15,10.7,0.2,2.5,70.5,1007.8
2003.11.16,5,,2.6,40.3,1015.3
2003.11.17,5.6,,1.2,45.3,1018.3
2003.11.18,8.7,,1.4,57.4,1014
2003.11.19,13.1,,2,50.1,1009.4
2003.11.20,12.1,6,2.2,80.5,1002.1
2003.11.21,4.6,,4.3,58.8,1007.9
2003.11.22,-0.1,,2.6,37.6,1020.5
2003.11.23,2.8,,1.6,41.6,1023.8
2003.11.24,6.4,,2.1,41.1,1019.1
2003.11.25,8.1,6.5,1.6,76.3,1019.1
2003.11.26,9.5,1,2.2,73,1019.1
2003.11.27,9.7,0.2,3,69.8,1017.5
2003.11.28,11.6,9.5,2.5,75.3,1011.9
2003.11.29,8.7,0.2,2.5,87.1,1007.7
2003.11.30,7.7,,1.6,77,1010.7
2003.12.01,7.2,,1.7,76.6,1012.2
2003.12.02,5.8,,1.9,64.1,1013.3
2003.12.03,3,,2.1,52.1,1014.6
2003.12.04,2.2,,1.4,34.9,1018.6
2003.12.05,6,1,1.9,51.5,1014.1
2003.12.06,3.4,0.5,3.3,69.1,1010
2003.12.07,-4.8,,2.8,45.8,1020.7
2003.12.08,-0.8,0.7,2.5,68.6,1019.7
2003.12.09,-2.7,,1.8,48.8,1024
2003.12.10,-0.4,,1.4,50.6,1020.7
2003.12.11,2.4,,2.1,54.3,1012.9
2003.12.12,0,,2.4,63.9,1011.6
2003.12.13,0.4,,1.7,61.9,1014.2
2003.12.14,1.7,,2,62.9,1012.9
2003.12.15,-0.2,,2.8,51.1,1012
2003.12.16,1.2,0.2,1.7,59.6,1010.7
2003.12.17,-0.7,3.5,3.6,60.8,1008.7
2003.12.18,-3.4,,2.5,57.8,1012.2
2003.12.19,-5.4,,4.1,44.8,1013.1
2003.12.20,-4.8,,2.8,37.9,1018.3
2003.12.21,-1.2,,1.5,59.3,1018.6
2003.12.22,3.3,,1.9,74.5,1011.7
2003.12.23,4.5,,2.3,82,1007
2003.12.24,2.5,,1.8,92.1,1007.5
2003.12.25,0.9,,3.3,62.9,1006.6
2003.12.26,-3.8,,3.6,44.9,1010.1
2003.12.27,-3,,2.1,45.9,1018.3
2003.12.28,2.3,,2.6,60,1018.1
2003.12.29,4.2,1,3.3,66.8,1013.5
2003.12.30,0.3,,2.1,47.3,1014
2003.12.31,2.7,0,2,68,1009.1
2004.01.01,3.7,,1.9,73.1,1008.8
2004.01.02,3.1,3,2.5,65.9,1007.5
2004.01.03,3.9,,2.2,54,1013
2004.01.04,1.8,,1.3,37.5,1018.1
2004.01.05,2.9,,1.4,52.3,1017.9
2004.01.06,4.5,,1.4,71.1,1015.5
2004.01.07,1.7,,3,65.4,1017
2004.01.08,0.3,,1.3,40.9,1021.4
2004.01.09,1.8,,2.1,56,1017.3
2004.01.10,-0.3,,2.9,43.1,1017.7
2004.01.11,-0.6,,1.5,40.9,1016.6
2004.01.12,-0.7,1.9,2.8,71,1008.3
2004.01.13,-6.7,0,3.8,58,1011
2004.01.14,-5.1,,1.6,47.6,1016.9
2004.01.15,-1.3,,1.7,65.8,1017.5
2004.01.16,1.4,,1.7,66,1015.3
2004.01.17,1.2,7.9,1.6,90.4,1012.9
2004.01.18,0.3,4.8,2.2,88.4,1008.9
2004.01.19,-1,0,2.7,59.9,1009.9
2004.01.20,-4.4,2.2,2.5,50.3,1010.6
2004.01.21,-14.3,,3.9,46.6,1011.4
2004.01.22,-13,,3.3,50.6,1013.3
2004.01.23,-8.7,,2,50.5,1012.7
2004.01.24,-7.3,,2.2,53.5,1010.8
2004.01.25,-7,,2.2,60.6,1014.4
2004.01.26,-5.9,,1.6,63.8,1015.2
2004.01.27,-4.1,,2.2,54.1,1011.9
2004.01.28,-0.4,,1.8,62.8,1009.4
2004.01.29,2.3,,1.8,66.5,1008.2
2004.01.30,1.7,,1.7,65.8,1010.4
2004.01.31,1.9,,1.6,65.3,1012.2
2004.02.01,3.1,,1.8,58.9,1006.3
2004.02.02,-1.7,,3.6,44.3,1005.8
2004.02.03,-4.2,,3.3,42.9,1007
2004.02.04,-1.4,0,3.1,57.3,1006.3
2004.02.05,-4.9,0,3.8,41.6,1011.9
2004.02.06,-4,0.4,2.5,61.3,1012.6
2004.02.07,-3.6,0,3.4,58.8,1015
2004.02.08,-0.2,,2.7,56.9,1012.6
2004.02.09,-2.2,,2,44.8,1018.8
2004.02.10,-0.3,,1.8,48,1018
2004.02.11,2.3,0,2.3,66.9,1015.2
2004.02.12,1.9,,2.1,57.4,1016.6
2004.02.13,3.8,,2.4,55.5,1005.9
2004.02.14,3.5,0.4,4.9,54.8,999.5
2004.02.15,3.5,,2.7,51.8,1010.9
2004.02.16,4.2,,2.3,58.9,1012.6
2004.02.17,4.4,,3.4,61.3,1008.2
2004.02.18,5.3,,2.6,44,1010
2004.02.19,8.2,,1.7,30.8,1012.9
2004.02.20,11.5,,1.8,30,1015.1
2004.02.21,10.7,46,2.5,84.1,1004.6
2004.02.22,3.7,6.5,4.6,89.6,995.8
2004.02.23,1.5,,3.2,56.5,1010.8
2004.02.24,4,,3.4,76.1,1008.9
2004.02.25,6,,4.2,68,1000.7
2004.02.26,1.5,0.3,3.7,49.6,1005.6
2004.02.27,1.9,,2.6,54,1009.3
2004.02.28,5.5,1,2.3,67.1,1001.8
2004.02.29,2.9,,3,47.8,1006
2004.03.01,1.7,,3.3,35.9,1009.4
2004.03.02,-2,,3.7,29.4,1011.1
2004.03.03,-1.7,,2.4,35.3,1006.7
2004.03.04,-1.5,14.6,2.5,64.3,1006.1
2004.03.05,-0.1,0,1.9,78.4,1004
2004.03.06,-3.4,,3.7,50,1012.6
2004.03.07,-1.4,,3.2,51.8,1020.1
2004.03.08,3.1,,2.8,75.3,1015
2004.03.09,7.8,,2.8,65.8,1006.6
2004.03.10,10.4,,4.3,66.1,999.5
2004.03.11,5.7,,2.8,29.6,1009.3
2004.03.12,6.9,,2.6,39.8,1010.9
2004.03.13,7.8,,1.9,61.1,1011.9
2004.03.14,6.7,,2.2,69.1,1010.9
2004.03.15,9.4,,1.7,46.3,1008.7
2004.03.16,14.5,1,3.4,46.1,1003.4
2004.03.17,4.9,9,4.4,65.9,1008.2
2004.03.18,2.1,,3.3,32.6,1015.7
2004.03.19,4.2,,2.2,43.3,1013.7
2004.03.20,7,,2.1,44.8,1011.9
2004.03.21,10,,1.6,43.8,1009.9
2004.03.22,10.8,,2.6,45.8,1008.2
2004.03.23,9,,2.5,43.4,1008.1
2004.03.24,8.9,1,2.8,65.9,1008.3
2004.03.25,9.1,,2.4,54.9,1007.8
2004.03.26,10.6,,2,39.5,1010.7
2004.03.27,10.8,,2.1,32.9,1012.4
2004.03.28,11.7,,2.3,28.5,1010.3
2004.03.29,14.1,0,2.2,51.1,1007.2
2004.03.30,9.7,2,4.3,51,1003.8
2004.03.31,7.9,,2.8,31.4,1010.3
2004.04.01,9.1,10.5,2.5,51.5,1003.8
2004.04.02,5.6,2,4.6,70.9,1002.4
2004.04.03,6.4,0,2.2,59.5,1009.4
2004.04.04,7.6,,2.6,43,1010.5
2004.04.05,9.1,,2.9,48.4,1007.6
2004.04.06,7.9,0,1.5,57.3,1006.9
2004.04.07,10.3,0,2.6,41.4,1007.1
2004.04.08,10.5,,3,30.1,1007.4
2004.04.09,13,,2.7,47.6,1005.9
2004.04.10,15.1,,2.1,40.9,1005.6
2004.04.11,16.1,,2.5,44.4,1003.5
2004.04.12,16.6,,1.7,59.9,1003.4
2004.04.13,17.1,,2.8,47.5,1003.9
2004.04.14,16.8,,2.4,41.4,1005
2004.04.15,15.5,,2.3,46.5,1002.6
2004.04.16,15.6,,3.7,52.3,999.6
2004.04.17,17.5,,2.9,40,1002.1
2004.04.18,19.7,2.5,1.8,40.4,1000
2004.04.19,14.2,15.5,3.1,94.4,992.2
2004.04.20,15.6,,2.9,59.3,1001.7
2004.04.21,18.9,,2.9,55.9,998
2004.04.22,16,0.1,3,65.6,995
2004.04.23,12.8,,3.4,28.6,1003.1
2004.04.24,11.8,,3.2,34.3,1008.5
2004.04.25,13,,3.2,29.9,1008.7
2004.04.26,10.3,30.5,3.8,57.6,997
2004.04.27,8.2,13,3.2,73.4,995.9
2004.04.28,11.9,,2.2,53.9,1007
2004.04.29,14.8,,2.8,45.1,1005.5
2004.04.30,17.3,,1.6,64.4,1005.7
2004.05.01,19.6,,2.7,49.6,1008.5
2004.05.02,17.4,1,2.7,67.1,1004.8
2004.05.03,14.8,16.5,2.7,95,995.5
2004.05.04,14.2,0,2.5,57.4,998.2
2004.05.05,15.5,,3.9,58.4,999.2
2004.05.06,16.9,,3,50.3,1003.7
2004.05.07,17.7,,1.7,34.4,1007.3
2004.05.08,18.1,0,1.9,51.1,1001.9
2004.05.09,14.8,30,3.3,94.1,994.7
2004.05.10,14.9,10.5,2.6,91.9,995.5
2004.05.11,17.3,,2,74.6,1001.3
2004.05.12,16.9,13.5,1.5,86.9,994.8
2004.05.13,15.8,1.5,2.9,81.3,996.4
2004.05.14,18.7,,1.8,64.3,1005.9
2004.05.15,15.9,0.5,1.8,78.5,1001.5
2004.05.16,16.3,,2.2,74.3,998.1
2004.05.17,14.5,0.5,3.9,78.6,997.2
2004.05.18,16.8,2,2.2,73.9,997.6
2004.05.19,19.3,0,5.2,61.4,991.5
2004.05.20,17.5,17,3,79.1,989.4
2004.05.21,16.7,3,3.3,66.3,989.5
2004.05.22,17.8,,3.2,50.5,994.8
2004.05.23,17.4,,2.6,61.1,999.2
2004.05.24,18.7,,2.5,58.9,1002.1
2004.05.25,19.8,,2.1,47.6,1003.4
2004.05.26,19.9,0,1.4,48.5,1004.9
2004.05.27,21.8,5.5,2,63.1,1005.6
2004.05.28,18.8,67,2.6,95.1,997
2004.05.29,20.1,0,1.9,81.5,999.4
2004.05.30,21.5,,1.8,74.8,998.2
2004.05.31,20.6,,2.8,45,1003.4
2004.06.01,21.2,,1.4,51.4,1008.8
2004.06.02,23.3,,1.9,47.3,1007.9
2004.06.03,26,,1.7,49.6,1007.2
2004.06.04,26.3,,1.9,48.4,1005.8
2004.06.05,25.8,,1.7,37.6,1003.2
2004.06.06,23.4,0,2,47.5,1001.2
2004.06.07,21.5,0,1.7,53.1,999.2
2004.06.08,20,0,2.1,66.1,1000.5
2004.06.09,20.6,,2.2,65.8,1002
2004.06.10,23.3,,1.8,68.3,1004.5
2004.06.11,25.3,,2.2,59.5,1003.5
2004.06.12,25,,2.7,44.1,1004.2
2004.06.13,23.4,,2.9,40.8,1006.6
2004.06.14,23.6,,2.2,35,1005
2004.06.15,25.5,,1.3,37.3,1004.4
2004.06.16,25.5,,2,43.5,1003.8
2004.06.17,19.2,21,2.4,85,1002.5
2004.06.18,20.5,1.5,1.8,89.6,998.8
2004.06.19,20.7,84,2.3,93,995.2
